d,trial,per_add,num_add,user1_cohortId,user2_cohortId,match
500,589,0.02,10,3512,3855,0
500,589,0.05,25,3512,3510,0
500,589,0.1,50,3512,3715,0
500,589,0.2,100,3512,4674,0
500,589,0.3,150,3512,172,0
500,589,0.5,250,3512,3420,0
500,590,0.01,5,350,350,1
500,590,0.02,10,350,350,1
500,590,0.05,25,350,16075,0
500,590,0.1,50,350,1165,0
500,590,0.2,100,350,24221,0
500,590,0.3,150,350,7790,0
500,590,0.5,250,350,1929,0
500,591,0.01,5,28761,30329,0
500,591,0.02,10,28761,28761,1
500,591,0.05,25,28761,33187,0
500,591,0.1,50,28761,19134,0
500,591,0.2,100,28761,29999,0
500,591,0.3,150,28761,31701,0
500,591,0.5,250,28761,23918,0
500,592,0.01,5,4833,4833,1
500,592,0.02,10,4833,1153,0
500,592,0.05,25,4833,4607,0
500,592,0.1,50,4833,977,0
500,592,0.2,100,4833,975,0
500,592,0.3,150,4833,975,0
500,592,0.5,250,4833,14934,0
500,593,0.01,5,4607,4607,1
500,593,0.02,10,4607,4607,1
500,593,0.05,25,4607,4607,1
500,593,0.1,50,4607,4607,1
500,593,0.2,100,4607,3420,0
500,593,0.3,150,4607,4607,1
500,593,0.5,250,4607,4607,1
500,594,0.01,5,24999,24998,0
500,594,0.02,10,24999,24999,1
500,594,0.05,25,24999,24999,1
500,594,0.1,50,24999,24998,0
500,594,0.2,100,24999,24998,0
500,594,0.3,150,24999,24999,1
500,594,0.5,250,24999,24998,0
500,595,0.01,5,20294,4607,0
500,595,0.02,10,20294,4609,0
500,595,0.05,25,20294,4833,0
500,595,0.1,50,20294,20600,0
500,595,0.2,100,20294,15871,0
500,595,0.3,150,20294,20937,0
500,595,0.5,250,20294,1377,0
500,596,0.01,5,19113,19113,1
500,596,0.02,10,19113,19113,1
500,596,0.05,25,19113,19134,0
500,596,0.1,50,19113,19134,0
500,596,0.2,100,19113,18700,0
500,596,0.3,150,19113,20558,0
500,596,0.5,250,19113,19136,0
500,597,0.01,5,21442,21442,1
500,597,0.02,10,21442,31267,0
500,597,0.05,25,21442,31267,0
500,597,0.1,50,21442,31272,0
500,597,0.2,100,21442,31267,0
500,597,0.3,150,21442,21442,1
500,597,0.5,250,21442,32985,0
500,598,0.01,5,24467,24475,0
